review_id,enrollment_id,rating,review_text,review_date
1,3,4,"Sangat puas, worth it banget!",2026-06-01
2,4,3,"Standar saja, sesuai ekspektasi.",2026-09-02
3,7,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-09-11
4,10,5,"Kursus bagus, cocok untuk pemula.",2026-08-06
5,11,4,"Kursus bagus, cocok untuk pemula.",2026-06-01
6,13,4,"Instrukturnya kompeten, penjelasan step by step.",2025-02-23
7,15,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-02-04
8,18,4,"Sangat puas, worth it banget!",2026-01-14
9,20,4,Konten up to date dan relevan dengan kebutuhan kerja.,2024-12-23
10,23,4,"Sangat puas, worth it banget!",2025-07-22
11,24,4,"Sangat puas, worth it banget!",2025-08-13
12,25,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-08-14
13,27,3,Lumayan membantu untuk basic knowledge.,2026-04-24
14,28,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-07-27
15,29,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-06-06
16,31,4,"Kursus bagus, cocok untuk pemula.",2025-11-09
17,33,5,"Instrukturnya kompeten, penjelasan step by step.",2026-05-15
18,34,4,"Sangat puas, worth it banget!",2025-02-27
19,35,4,Konten up to date dan relevan dengan kebutuhan kerja.,2025-03-01
20,40,4,"Instrukturnya kompeten, penjelasan step by step.",2026-06-07
21,44,5,"Sangat puas, worth it banget!",2026-06-15
22,45,5,"Instrukturnya kompeten, penjelasan step by step.",2025-09-24
23,48,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-05-01
24,52,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2025-05-04
25,53,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-04-04
26,54,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-08-20
27,55,5,"Instrukturnya kompeten, penjelasan step by step.",2025-03-12
28,56,5,"Instrukturnya kompeten, penjelasan step by step.",2026-08-16
29,61,2,Kontennya sudah agak outdated.,2026-07-19
30,62,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-07-03
31,67,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-07-21
32,69,4,"Instrukturnya kompeten, penjelasan step by step.",2025-12-25
33,70,4,"Sangat puas, worth it banget!",2025-12-03
34,72,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-06-08
35,74,5,"Sangat puas, worth it banget!",2025-10-09
36,76,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2025-05-09
37,77,5,"Instrukturnya kompeten, penjelasan step by step.",2026-07-25
38,78,4,"Kursus bagus, cocok untuk pemula.",2026-02-08
39,79,5,"Sangat puas, worth it banget!",2026-02-12
